DISEASE;GENDER;AGE;NUMBER OF DEATHS
Diseases of the circulatory system;Both;0 to 1;20
Diseases of the circulatory system;Males;0 to 1;10
Diseases of the circulatory system;Females;0 to 1;10
Diseases of the circulatory system;Both;1 to 4;12
Diseases of the circulatory system;Males;1 to 4;9
Diseases of the circulatory system;Females;1 to 4;3
Diseases of the circulatory system;Both;5 to 9;3
Diseases of the circulatory system;Males;5 to 9;3
Diseases of the circulatory system;Females;5 to 9;0
Diseases of the circulatory system;Both;10 to 14;6
Diseases of the circulatory system;Males;10 to 14;3
Diseases of the circulatory system;Females;10 to 14;3
Diseases of the circulatory system;Both;15 to 19;26
Diseases of the circulatory system;Males;15 to 19;12
Diseases of the circulatory system;Females;15 to 19;14
Diseases of the circulatory system;Both;20 to 24;31
Diseases of the circulatory system;Males;20 to 24;13
Diseases of the circulatory system;Females;20 to 24;18
Diseases of the circulatory system;Both;25 to 29;47
Diseases of the circulatory system;Males;25 to 29;31
Diseases of the circulatory system;Females;25 to 29;16
Diseases of the circulatory system;Both;30 to 34;101
Diseases of the circulatory system;Males;30 to 34;76
Diseases of the circulatory system;Females;30 to 34;25
Diseases of the circulatory system;Both;35 to 39;270
Diseases of the circulatory system;Males;35 to 39;200
Diseases of the circulatory system;Females;35 to 39;70
Diseases of the circulatory system;Both;40 to 44;483
Diseases of the circulatory system;Males;40 to 44;387
Diseases of the circulatory system;Females;40 to 44;96
Diseases of the circulatory system;Both;45 to 49;919
Diseases of the circulatory system;Males;45 to 49;719
Diseases of the circulatory system;Females;45 to 49;200
Diseases of the circulatory system;Both;50 to 54;1544
Diseases of the circulatory system;Males;50 to 54;1234
Diseases of the circulatory system;Females;50 to 54;310
Diseases of the circulatory system;Both;55 to 59;2231
Diseases of the circulatory system;Males;55 to 59;1784
Diseases of the circulatory system;Females;55 to 59;447
Diseases of the circulatory system;Both;60 to 64;2937
Diseases of the circulatory system;Males;60 to 64;2265
Diseases of the circulatory system;Females;60 to 64;672
Diseases of the circulatory system;Both;65 to 69;4203
Diseases of the circulatory system;Males;65 to 69;3086
Diseases of the circulatory system;Females;65 to 69;1117
Diseases of the circulatory system;Both;70 to 74;5839
Diseases of the circulatory system;Males;70 to 74;3948
Diseases of the circulatory system;Females;70 to 74;1891
Diseases of the circulatory system;Both;75 to 79;8028
Diseases of the circulatory system;Males;75 to 79;4773
Diseases of the circulatory system;Females;75 to 79;3255
Diseases of the circulatory system;Both;80 to 84;16209
Diseases of the circulatory system;Males;80 to 84;8085
Diseases of the circulatory system;Females;80 to 84;8124
Diseases of the circulatory system;Both;85 to 89;23122
Diseases of the circulatory system;Males;85 to 89;9474
Diseases of the circulatory system;Females;85 to 89;13648
Diseases of the circulatory system;Both;90 to 94;19662
Diseases of the circulatory system;Males;90 to 94;6316
Diseases of the circulatory system;Females;90 to 94;13346
Diseases of the circulatory system;Both;95 or more;9835
Diseases of the circulatory system;Males;95 or more;2196
Diseases of the circulatory system;Females;95 or more;7639
Cerebrovascular diseases;Both;All ages;26937
Cerebrovascular diseases;Males;All ages;11555
Cerebrovascular diseases;Females;All ages;15382
Cerebrovascular diseases;Both;0 to 1;4
Cerebrovascular diseases;Males;0 to 1;2
Cerebrovascular diseases;Females;0 to 1;2
Cerebrovascular diseases;Both;1 to 4;3
Cerebrovascular diseases;Males;1 to 4;0
Cerebrovascular diseases;Females;1 to 4;3
Cerebrovascular diseases;Both;5 to 9;0
Cerebrovascular diseases;Males;5 to 9;0
Cerebrovascular diseases;Females;5 to 9;0
Cerebrovascular diseases;Both;10 to 14;3
Cerebrovascular diseases;Males;10 to 14;0
Cerebrovascular diseases;Females;10 to 14;3
Cerebrovascular diseases;Both;15 to 19;4
Cerebrovascular diseases;Males;15 to 19;4
Cerebrovascular diseases;Females;15 to 19;0
Cerebrovascular diseases;Both;20 to 24;5
Cerebrovascular diseases;Males;20 to 24;2
Cerebrovascular diseases;Females;20 to 24;3
Cerebrovascular diseases;Both;25 to 29;13
Cerebrovascular diseases;Males;25 to 29;5
Cerebrovascular diseases;Females;25 to 29;8
Cerebrovascular diseases;Both;30 to 34;24
Cerebrovascular diseases;Males;30 to 34;12
Cerebrovascular diseases;Females;30 to 34;12
Cerebrovascular diseases;Both;35 to 39;54
Cerebrovascular diseases;Males;35 to 39;31
Cerebrovascular diseases;Females;35 to 39;23
Cerebrovascular diseases;Both;40 to 44;103
Cerebrovascular diseases;Males;40 to 44;57
Cerebrovascular diseases;Females;40 to 44;46
Cerebrovascular diseases;Both;45 to 49;220
Cerebrovascular diseases;Males;45 to 49;131
Cerebrovascular diseases;Females;45 to 49;89
Cerebrovascular diseases;Both;50 to 54;358
Cerebrovascular diseases;Males;50 to 54;240
Cerebrovascular diseases;Females;50 to 54;118
Cerebrovascular diseases;Both;55 to 59;490
Cerebrovascular diseases;Males;55 to 59;310
Cerebrovascular diseases;Females;55 to 59;180
Cerebrovascular diseases;Both;60 to 64;677
Cerebrovascular diseases;Males;60 to 64;470
Cerebrovascular diseases;Females;60 to 64;207
Cerebrovascular diseases;Both;65 to 69;1001
Cerebrovascular diseases;Males;65 to 69;645
Cerebrovascular diseases;Females;65 to 69;356
Cerebrovascular diseases;Both;70 to 74;1693
Cerebrovascular diseases;Males;70 to 74;1045
Cerebrovascular diseases;Females;70 to 74;648
Cerebrovascular diseases;Both;75 to 79;2737
Cerebrovascular diseases;Males;75 to 79;1448
Cerebrovascular diseases;Females;75 to 79;1289
Cerebrovascular diseases;Both;80 to 84;5114
Cerebrovascular diseases;Males;80 to 84;2367
Cerebrovascular diseases;Females;80 to 84;2747
Cerebrovascular diseases;Both;85 to 89;6925
Cerebrovascular diseases;Males;85 to 89;2717
Cerebrovascular diseases;Females;85 to 89;4208
Cerebrovascular diseases;Both;90 to 94;5233
Cerebrovascular diseases;Males;90 to 94;1566
Cerebrovascular diseases;Females;90 to 94;3667
Cerebrovascular diseases;Both;95 or more;2276
Cerebrovascular diseases;Males;95 or more;503
Cerebrovascular diseases;Females;95 or more;1773
Diseases of the respiratory system;Both;All ages;51615
Diseases of the respiratory system;Males;All ages;28277
Diseases of the respiratory system;Females;All ages;23338
Diseases of the respiratory system;Both;0 to 1;10
Diseases of the respiratory system;Males;0 to 1;5
Diseases of the respiratory system;Females;0 to 1;5
Diseases of the respiratory system;Both;1 to 4;7
Diseases of the respiratory system;Males;1 to 4;4
Diseases of the respiratory system;Females;1 to 4;3
Diseases of the respiratory system;Both;5 to 9;6
Diseases of the respiratory system;Males;5 to 9;3
Diseases of the respiratory system;Females;5 to 9;3
Diseases of the respiratory system;Both;10 to 14;7
Diseases of the respiratory system;Males;10 to 14;3
Diseases of the respiratory system;Females;10 to 14;4
Diseases of the respiratory system;Both;15 to 19;17
Diseases of the respiratory system;Males;15 to 19;11
Diseases of the respiratory system;Females;15 to 19;6
Diseases of the respiratory system;Both;20 to 24;17
Diseases of the respiratory system;Males;20 to 24;7
Diseases of the respiratory system;Females;20 to 24;10
Diseases of the respiratory system;Both;25 to 29;29
Diseases of the respiratory system;Males;25 to 29;16
Diseases of the respiratory system;Females;25 to 29;13
Diseases of the respiratory system;Both;30 to 34;62
Diseases of the respiratory system;Males;30 to 34;46
Diseases of the respiratory system;Females;30 to 34;16
Diseases of the respiratory system;Both;35 to 39;84
Diseases of the respiratory system;Males;35 to 39;61
Diseases of the respiratory system;Females;35 to 39;23
Diseases of the respiratory system;Both;40 to 44;134
Diseases of the respiratory system;Males;40 to 44;92
Diseases of the respiratory system;Females;40 to 44;42
Diseases of the respiratory system;Both;45 to 49;269
Diseases of the respiratory system;Males;45 to 49;192
Diseases of the respiratory system;Females;45 to 49;77
Diseases of the respiratory system;Both;50 to 54;431
Diseases of the respiratory system;Males;50 to 54;292
Diseases of the respiratory system;Females;50 to 54;139
Diseases of the respiratory system;Both;55 to 59;665
Diseases of the respiratory system;Males;55 to 59;483
Diseases of the respiratory system;Females;55 to 59;182
Diseases of the respiratory system;Both;60 to 64;1071
Diseases of the respiratory system;Males;60 to 64;743
Diseases of the respiratory system;Females;60 to 64;328
Diseases of the respiratory system;Both;65 to 69;1740
Diseases of the respiratory system;Males;65 to 69;1267
Diseases of the respiratory system;Females;65 to 69;473
Diseases of the respiratory system;Both;70 to 74;3067
Diseases of the respiratory system;Males;70 to 74;2239
Diseases of the respiratory system;Females;70 to 74;828
Diseases of the respiratory system;Both;75 to 79;4647
Diseases of the respiratory system;Males;75 to 79;3188
Diseases of the respiratory system;Females;75 to 79;1459
Diseases of the respiratory system;Both;80 to 84;9649
Diseases of the respiratory system;Males;80 to 84;6021
Diseases of the respiratory system;Females;80 to 84;3628
Diseases of the respiratory system;Both;85 to 89;13060
Diseases of the respiratory system;Males;85 to 89;6995
Diseases of the respiratory system;Females;85 to 89;6065
Diseases of the respiratory system;Both;90 to 94;11242
Diseases of the respiratory system;Males;90 to 94;4822
Diseases of the respiratory system;Females;90 to 94;6420
Diseases of the respiratory system;Both;95 or more;5401
Diseases of the respiratory system;Males;95 or more;1787
Diseases of the respiratory system;Females;95 or more;3614
Alcohol-related;Both;All ages;233
Alcohol-related;Males;All ages;199
Alcohol-related;Females;All ages;34
Alcohol-related;Both;0 to 1;0
Alcohol-related;Males;0 to 1;0
Alcohol-related;Females;0 to 1;0
Alcohol-related;Both;1 to 4;0
Alcohol-related;Males;1 to 4;0
Alcohol-related;Females;1 to 4;0
Alcohol-related;Both;5 to 9;0
Alcohol-related;Males;5 to 9;0
Alcohol-related;Females;5 to 9;0
Alcohol-related;Both;10 to 14;0
Alcohol-related;Males;10 to 14;0
Alcohol-related;Females;10 to 14;0
Alcohol-related;Both;15 to 19;0
Alcohol-related;Males;15 to 19;0
Alcohol-related;Females;15 to 19;0
Alcohol-related;Both;20 to 24;0
Alcohol-related;Males;20 to 24;0
Alcohol-related;Females;20 to 24;0
Alcohol-related;Both;25 to 29;0
Alcohol-related;Males;25 to 29;0
Alcohol-related;Females;25 to 29;0
Alcohol-related;Both;30 to 34;0
Alcohol-related;Males;30 to 34;0
Alcohol-related;Females;30 to 34;0
Alcohol-related;Both;35 to 39;1
Alcohol-related;Males;35 to 39;1
Alcohol-related;Females;35 to 39;0
Alcohol-related;Both;40 to 44;3
Alcohol-related;Males;40 to 44;3
Alcohol-related;Females;40 to 44;0
Alcohol-related;Both;45 to 49;12
Alcohol-related;Males;45 to 49;10
Alcohol-related;Females;45 to 49;2
Alcohol-related;Both;50 to 54;18
Alcohol-related;Males;50 to 54;16
Alcohol-related;Females;50 to 54;2
Alcohol-related;Both;55 to 59;37
Alcohol-related;Males;55 to 59;32
Alcohol-related;Females;55 to 59;5
Alcohol-related;Both;60 to 64;31
Alcohol-related;Males;60 to 64;28
Alcohol-related;Females;60 to 64;3
Alcohol-related;Both;65 to 69;33
Alcohol-related;Males;65 to 69;31
Alcohol-related;Females;65 to 69;2
Alcohol-related;Both;70 to 74;33
Alcohol-related;Males;70 to 74;28
Alcohol-related;Females;70 to 74;5
Alcohol-related;Both;75 to 79;22
Alcohol-related;Males;75 to 79;17
Alcohol-related;Females;75 to 79;5
Alcohol-related;Both;80 to 84;22
Alcohol-related;Males;80 to 84;19
Alcohol-related;Females;80 to 84;3
Alcohol-related;Both;85 to 89;14
Alcohol-related;Males;85 to 89;11
Alcohol-related;Females;85 to 89;3
Alcohol-related;Both;90 to 94;7
Alcohol-related;Males;90 to 94;3
Alcohol-related;Females;90 to 94;4
Alcohol-related;Both;95 or more;0
Alcohol-related;Males;95 or more;0
Alcohol-related;Females;95 or more;0
Accidents;Both;All ages;6224
Accidents;Males;All ages;3485
Accidents;Females;All ages;2739
Accidents;Both;0 to 1;6
Accidents;Males;0 to 1;5
Accidents;Females;0 to 1;1
Accidents;Both;1 to 4;28
Accidents;Males;1 to 4;22
Accidents;Females;1 to 4;6
Accidents;Both;5 to 9;8
Accidents;Males;5 to 9;5
Accidents;Females;5 to 9;3
Accidents;Both;10 to 14;14
Accidents;Males;10 to 14;6
Accidents;Females;10 to 14;8
Accidents;Both;15 to 19;26
Accidents;Males;15 to 19;19
Accidents;Females;15 to 19;7
Accidents;Both;20 to 24;47
Accidents;Males;20 to 24;38
Accidents;Females;20 to 24;9
Accidents;Both;25 to 29;83
Accidents;Males;25 to 29;71
Accidents;Females;25 to 29;12
Accidents;Both;30 to 34;106
Accidents;Males;30 to 34;90
Accidents;Females;30 to 34;16
Accidents;Both;35 to 39;154
Accidents;Males;35 to 39;135
Accidents;Females;35 to 39;19
Accidents;Both;40 to 44;180
Accidents;Males;40 to 44;144
Accidents;Females;40 to 44;36
Accidents;Both;45 to 49;258
Accidents;Males;45 to 49;206
Accidents;Females;45 to 49;52
Accidents;Both;50 to 54;266
Accidents;Males;50 to 54;219
Accidents;Females;50 to 54;47
Accidents;Both;55 to 59;241
Accidents;Males;55 to 59;178
Accidents;Females;55 to 59;63
Accidents;Both;60 to 64;221
Accidents;Males;60 to 64;161
Accidents;Females;60 to 64;60
Accidents;Both;65 to 69;275
Accidents;Males;65 to 69;178
Accidents;Females;65 to 69;97
Accidents;Both;70 to 74;362
Accidents;Males;70 to 74;217
Accidents;Females;70 to 74;145
Accidents;Both;75 to 79;473
Accidents;Males;75 to 79;267
Accidents;Females;75 to 79;206
Accidents;Both;80 to 84;829
Accidents;Males;80 to 84;459
Accidents;Females;80 to 84;370
Accidents;Both;85 to 89;1158
Accidents;Males;85 to 89;527
Accidents;Females;85 to 89;631
Accidents;Both;90 to 94;1025
Accidents;Males;90 to 94;397
Accidents;Females;90 to 94;628
Accidents;Both;95 or more;464
Accidents;Males;95 or more;141
Accidents;Females;95 or more;323
Suicide;Both;All ages;3679
Suicide;Males;All ages;2718
Suicide;Females;All ages;961
Suicide;Both;0 to 1;0
Suicide;Males;0 to 1;0
Suicide;Females;0 to 1;0
Suicide;Both;1 to 4;0
Suicide;Males;1 to 4;0
Suicide;Females;1 to 4;0
Suicide;Both;5 to 9;0
Suicide;Males;5 to 9;0
Suicide;Females;5 to 9;0
Suicide;Both;10 to 14;13
Suicide;Males;10 to 14;6
Suicide;Females;10 to 14;7
Suicide;Both;15 to 19;50
Suicide;Males;15 to 19;33
Suicide;Females;15 to 19;17
Suicide;Both;20 to 24;82
Suicide;Males;20 to 24;66
Suicide;Females;20 to 24;16
Suicide;Both;25 to 29;141
Suicide;Males;25 to 29;105
Suicide;Females;25 to 29;36
Suicide;Both;30 to 34;175
Suicide;Males;30 to 34;144
Suicide;Females;30 to 34;31
Suicide;Both;35 to 39;277
Suicide;Males;35 to 39;210
Suicide;Females;35 to 39;67
Suicide;Both;40 to 44;344
Suicide;Males;40 to 44;246
Suicide;Females;40 to 44;98
Suicide;Both;45 to 49;367
Suicide;Males;45 to 49;291
Suicide;Females;45 to 49;76
Suicide;Both;50 to 54;421
Suicide;Males;50 to 54;305
Suicide;Females;50 to 54;116
Suicide;Both;55 to 59;362
Suicide;Males;55 to 59;254
Suicide;Females;55 to 59;108
Suicide;Both;60 to 64;251
Suicide;Males;60 to 64;170
Suicide;Females;60 to 64;81
Suicide;Both;65 to 69;230
Suicide;Males;65 to 69;162
Suicide;Females;65 to 69;68
Suicide;Both;70 to 74;245
Suicide;Males;70 to 74;166
Suicide;Females;70 to 74;79
Suicide;Both;75 to 79;204
Suicide;Males;75 to 79;145
Suicide;Females;75 to 79;59
Suicide;Both;80 to 84;259
Suicide;Males;80 to 84;204
Suicide;Females;80 to 84;55
Suicide;Both;85 to 89;180
Suicide;Males;85 to 89;143
Suicide;Females;85 to 89;37
Suicide;Both;90 to 94;64
Suicide;Males;90 to 94;56
Suicide;Females;90 to 94;8
Suicide;Both;95 or more;14
Suicide;Males;95 or more;12
Suicide;Females;95 or more;2
Alzheimer's disease and organic senile and presenile disorders;Both;All ages;36236
Alzheimer's disease and organic senile and presenile disorders;Males;All ages;11332
Alzheimer's disease and organic senile and presenile disorders;Females;All ages;24904
Alzheimer's disease and organic senile and presenile disorders;Both;0 to 1;0
Alzheimer's disease and organic senile and presenile disorders;Males;0 to 1;0
Alzheimer's disease and organic senile and presenile disorders;Females;0 to 1;0
Alzheimer's disease and organic senile and presenile disorders;Both;1 to 4;0
Alzheimer's disease and organic senile and presenile disorders;Males;1 to 4;0
Alzheimer's disease and organic senile and presenile disorders;Females;1 to 4;0
Alzheimer's disease and organic senile and presenile disorders;Both;5 to 9;0
Alzheimer's disease and organic senile and presenile disorders;Males;5 to 9;0
Alzheimer's disease and organic senile and presenile disorders;Females;5 to 9;0
Alzheimer's disease and organic senile and presenile disorders;Both;10 to 14;0
Alzheimer's disease and organic senile and presenile disorders;Males;10 to 14;0
Alzheimer's disease and organic senile and presenile disorders;Females;10 to 14;0
Alzheimer's disease and organic senile and presenile disorders;Both;15 to 19;0
Alzheimer's disease and organic senile and presenile disorders;Males;15 to 19;0
Alzheimer's disease and organic senile and presenile disorders;Females;15 to 19;0
Alzheimer's disease and organic senile and presenile disorders;Both;20 to 24;0
Alzheimer's disease and organic senile and presenile disorders;Males;20 to 24;0
Alzheimer's disease and organic senile and presenile disorders;Females;20 to 24;0
Alzheimer's disease and organic senile and presenile disorders;Both;25 to 29;0
Alzheimer's disease and organic senile and presenile disorders;Males;25 to 29;0
Alzheimer's disease and organic senile and presenile disorders;Females;25 to 29;0
Alzheimer's disease and organic senile and presenile disorders;Both;30 to 34;0
Alzheimer's disease and organic senile and presenile disorders;Males;30 to 34;0
Alzheimer's disease and organic senile and presenile disorders;Females;30 to 34;0
Alzheimer's disease and organic senile and presenile disorders;Both;35 to 39;1
Alzheimer's disease and organic senile and presenile disorders;Males;35 to 39;1
Alzheimer's disease and organic senile and presenile disorders;Females;35 to 39;0
Alzheimer's disease and organic senile and presenile disorders;Both;40 to 44;2
Alzheimer's disease and organic senile and presenile disorders;Males;40 to 44;1
Alzheimer's disease and organic senile and presenile disorders;Females;40 to 44;1
Alzheimer's disease and organic senile and presenile disorders;Both;45 to 49;6
Alzheimer's disease and organic senile and presenile disorders;Males;45 to 49;3
Alzheimer's disease and organic senile and presenile disorders;Females;45 to 49;3
Alzheimer's disease and organic senile and presenile disorders;Both;50 to 54;12
Alzheimer's disease and organic senile and presenile disorders;Males;50 to 54;5
Alzheimer's disease and organic senile and presenile disorders;Females;50 to 54;7
Alzheimer's disease and organic senile and presenile disorders;Both;55 to 59;49
Alzheimer's disease and organic senile and presenile disorders;Males;55 to 59;32
Alzheimer's disease and organic senile and presenile disorders;Females;55 to 59;17
Alzheimer's disease and organic senile and presenile disorders;Both;60 to 64;135
Alzheimer's disease and organic senile and presenile disorders;Males;60 to 64;71
Alzheimer's disease and organic senile and presenile disorders;Females;60 to 64;64
Alzheimer's disease and organic senile and presenile disorders;Both;65 to 69;338
Alzheimer's disease and organic senile and presenile disorders;Males;65 to 69;173
Alzheimer's disease and organic senile and presenile disorders;Females;65 to 69;165
Alzheimer's disease and organic senile and presenile disorders;Both;70 to 74;1008
Alzheimer's disease and organic senile and presenile disorders;Males;70 to 74;505
Alzheimer's disease and organic senile and presenile disorders;Females;70 to 74;503
Alzheimer's disease and organic senile and presenile disorders;Both;75 to 79;2306
Alzheimer's disease and organic senile and presenile disorders;Males;75 to 79;1055
Alzheimer's disease and organic senile and presenile disorders;Females;75 to 79;1251
Alzheimer's disease and organic senile and presenile disorders;Both;80 to 84;6499
Alzheimer's disease and organic senile and presenile disorders;Males;80 to 84;2558
Alzheimer's disease and organic senile and presenile disorders;Females;80 to 84;3941
Alzheimer's disease and organic senile and presenile disorders;Both;85 to 89;11154
Alzheimer's disease and organic senile and presenile disorders;Males;85 to 89;3620
Alzheimer's disease and organic senile and presenile disorders;Females;85 to 89;7534
Alzheimer's disease and organic senile and presenile disorders;Both;90 to 94;9999
Alzheimer's disease and organic senile and presenile disorders;Males;90 to 94;2498
Alzheimer's disease and organic senile and presenile disorders;Females;90 to 94;7501
Alzheimer's disease and organic senile and presenile disorders;Both;95 or more;4727
Alzheimer's disease and organic senile and presenile disorders;Males;95 or more;810
Alzheimer's disease and organic senile and presenile disorders;Females;95 or more;3917
Diabetes mellitus;Both;All ages;9773
Diabetes mellitus;Males;All ages;4293
Diabetes mellitus;Females;All ages;5480
Diabetes mellitus;Both;0 to 1;0
Diabetes mellitus;Males;0 to 1;0
Diabetes mellitus;Females;0 to 1;0
Diabetes mellitus;Both;1 to 4;0
Diabetes mellitus;Males;1 to 4;0
Diabetes mellitus;Females;1 to 4;0
Diabetes mellitus;Both;5 to 9;0
Diabetes mellitus;Males;5 to 9;0
Diabetes mellitus;Females;5 to 9;0
Diabetes mellitus;Both;10 to 14;0
Diabetes mellitus;Males;10 to 14;0
Diabetes mellitus;Females;10 to 14;0
Diabetes mellitus;Both;15 to 19;0
Diabetes mellitus;Males;15 to 19;0
Diabetes mellitus;Females;15 to 19;0
Diabetes mellitus;Both;20 to 24;0
Diabetes mellitus;Males;20 to 24;0
Diabetes mellitus;Females;20 to 24;0
Diabetes mellitus;Both;25 to 29;2
Diabetes mellitus;Males;25 to 29;1
Diabetes mellitus;Females;25 to 29;1
Diabetes mellitus;Both;30 to 34;3
Diabetes mellitus;Males;30 to 34;2
Diabetes mellitus;Females;30 to 34;1
Diabetes mellitus;Both;35 to 39;7
Diabetes mellitus;Males;35 to 39;5
Diabetes mellitus;Females;35 to 39;2
Diabetes mellitus;Both;40 to 44;15
Diabetes mellitus;Males;40 to 44;7
Diabetes mellitus;Females;40 to 44;8
Diabetes mellitus;Both;45 to 49;38
Diabetes mellitus;Males;45 to 49;28
Diabetes mellitus;Females;45 to 49;10
Diabetes mellitus;Both;50 to 54;90
Diabetes mellitus;Males;50 to 54;64
Diabetes mellitus;Females;50 to 54;26
Diabetes mellitus;Both;55 to 59;148
Diabetes mellitus;Males;55 to 59;108
Diabetes mellitus;Females;55 to 59;40
Diabetes mellitus;Both;60 to 64;254
Diabetes mellitus;Males;60 to 64;185
Diabetes mellitus;Females;60 to 64;69
Diabetes mellitus;Both;65 to 69;414
Diabetes mellitus;Males;65 to 69;292
Diabetes mellitus;Females;65 to 69;122
Diabetes mellitus;Both;70 to 74;716
Diabetes mellitus;Males;70 to 74;454
Diabetes mellitus;Females;70 to 74;262
Diabetes mellitus;Both;75 to 79;953
Diabetes mellitus;Males;75 to 79;507
Diabetes mellitus;Females;75 to 79;446
Diabetes mellitus;Both;80 to 84;1855
Diabetes mellitus;Males;80 to 84;891
Diabetes mellitus;Females;80 to 84;964
Diabetes mellitus;Both;85 to 89;2528
Diabetes mellitus;Males;85 to 89;988
Diabetes mellitus;Females;85 to 89;1540
Diabetes mellitus;Both;90 to 94;1955
Diabetes mellitus;Males;90 to 94;615
Diabetes mellitus;Females;90 to 94;1340
Diabetes mellitus;Both;95 or more;795
Diabetes mellitus;Males;95 or more;146
Diabetes mellitus;Females;95 or more;649
Genitourinary tract diseases;Both;All ages;13188
Genitourinary tract diseases;Males;All ages;5782
Genitourinary tract diseases;Females;All ages;7406
Genitourinary tract diseases;Both;0 to 1;4
Genitourinary tract diseases;Males;0 to 1;3
Genitourinary tract diseases;Females;0 to 1;1
Genitourinary tract diseases;Both;1 to 4;0
Genitourinary tract diseases;Males;1 to 4;0
Genitourinary tract diseases;Females;1 to 4;0
Genitourinary tract diseases;Both;5 to 9;1
Genitourinary tract diseases;Males;5 to 9;1
Genitourinary tract diseases;Females;5 to 9;0
Genitourinary tract diseases;Both;10 to 14;0
Genitourinary tract diseases;Males;10 to 14;0
